"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,29.762970,0.050997,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,5895.628690,10.108223,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,184.000005,0.000007,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1444.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,2065.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,117.994312,2.934649,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,4790.884744,116.266969,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,592.000018,0.000026,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1175.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1683.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,226.042782,13.717531,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,4691.374741,256.741153,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,1104.000034,7.688056,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1149.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1659.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,554.864689,13.005226,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,3991.378516,78.761415,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,2320.000084,7.688057,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,978.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1389.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,602.745807,5.311159,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,3899.268982,43.214140,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,2464.000091,7.688054,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,955.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1368.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,1275.589137,19.056938,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,3823.615373,56.343024,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,5112.000193,0.000280,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,937.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1347.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,2565.825611,140.463488,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,2860.113604,148.191042,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,7648.000390,0.000568,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,702.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1025.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,16.103408,0.031241,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,7580.209478,14.678210,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,128.000002,0.000004,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1856.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,2612.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,73.101765,5.629719,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4980.707163,268.480007,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,378.666678,12.813425,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1220.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1742.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,216.200201,4.548940,"ns/op",,1234,10
