"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation","avgt",1,30,72.674413,1.167144,"ns/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate","avgt",1,30,7772.655378,126.475631,"MB/sec",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,592.000011,0.000016,"B/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.count","avgt",1,30,1904.000000,NaN,"counts",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.time","avgt",1,30,2645.000000,NaN,"ms",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation","avgt",1,30,67.666149,0.739323,"ns/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate","avgt",1,30,7781.527964,84.066402,"MB/sec",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,552.000010,0.000015,"B/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.count","avgt",1,30,1907.000000,NaN,"counts",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.time","avgt",1,30,2639.000000,NaN,"ms",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation","avgt",1,30,68.517610,1.099818,"ns/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate","avgt",1,30,7687.089763,121.858135,"MB/sec",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,552.000010,0.000015,"B/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.count","avgt",1,30,1884.000000,NaN,"counts",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.time","avgt",1,30,2697.000000,NaN,"ms",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation","avgt",1,30,69.294626,0.166613,"ns/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate","avgt",1,30,7817.016256,18.817804,"MB/sec",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,568.000011,0.000015,"B/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.count","avgt",1,30,1916.000000,NaN,"counts",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.time","avgt",1,30,2702.000000,NaN,"ms",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation","avgt",1,30,73.873820,0.795422,"ns/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate","avgt",1,30,7644.108773,83.026943,"MB/sec",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,592.000011,0.000016,"B/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.count","avgt",1,30,1873.000000,NaN,"counts",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.time","avgt",1,30,2647.000000,NaN,"ms",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation","avgt",1,30,599.146434,6.118207,"ns/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate","avgt",1,30,904.273032,9.165132,"MB/sec",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,568.000091,0.000132,"B/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.count","avgt",1,30,220.000000,NaN,"counts",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.time","avgt",1,30,317.000000,NaN,"ms",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation","avgt",1,30,686.914375,3.840205,"ns/op",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate","avgt",1,30,788.609450,4.427950,"MB/sec",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,568.000105,0.000152,"B/op",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.count","avgt",1,30,194.000000,NaN,"counts",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceDerivation:·gc.time","avgt",1,30,275.000000,NaN,"ms",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric","avgt",1,30,349.908762,11.134928,"ns/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate","avgt",1,30,1742.403164,28.183277,"MB/sec",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,640.000260,30.752231,"B/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.count","avgt",1,30,426.000000,NaN,"counts",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.time","avgt",1,30,598.000000,NaN,"ms",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric","avgt",1,30,445.526172,17.870173,"ns/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate","avgt",1,30,1515.640410,34.822246,"MB/sec",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,706.666963,12.813432,"B/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.count","avgt",1,30,371.000000,NaN,"counts",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.time","avgt",1,30,523.000000,NaN,"ms",LAST,1234,5
