"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation","avgt",1,30,16.727108,0.360829,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate","avgt",1,30,7304.831066,156.216127,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,128.000003,0.000004,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.count","avgt",1,30,1789.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.time","avgt",1,30,2529.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation","avgt",1,30,36.138386,0.065739,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate","avgt",1,30,5699.989035,10.352049,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,216.000006,0.000008,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.count","avgt",1,30,1396.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.time","avgt",1,30,1998.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation","avgt",1,30,153.970318,9.611511,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate","avgt",1,30,4196.369481,253.481880,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,672.000024,0.000036,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.count","avgt",1,30,1028.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.time","avgt",1,30,1478.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation","avgt",1,30,468.425061,10.825923,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate","avgt",1,30,3668.875780,86.876244,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,1800.000078,0.000117,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.count","avgt",1,30,899.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.time","avgt",1,30,1289.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation","avgt",1,30,535.646425,36.514575,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate","avgt",1,30,3471.878683,170.033002,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,1936.000084,30.752223,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.count","avgt",1,30,850.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.time","avgt",1,30,1191.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation","avgt",1,30,1223.351331,12.916044,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate","avgt",1,30,3440.546546,9.742989,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,4413.333519,35.877591,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.count","avgt",1,30,842.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.time","avgt",1,30,1172.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation","avgt",1,30,1988.142980,21.202591,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate","avgt",1,30,3343.140359,35.532164,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.alloc.rate.norm","avgt",1,30,6968.000312,0.000460,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.count","avgt",1,30,819.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceDerivation:·gc.time","avgt",1,30,1180.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,22.457227,0.705694,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,6907.594045,8.595914,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,162.666670,5.125370,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1692.000000,NaN,"counts",,1234,1
